Route_ID	Route_Comb	Dup_Bw_Titles	Dup_Bw_Authors	Source_ID	Target_ID_All	Target_ID_0	Edition_ID	Matched_Entries	Last_Date	First_Date	Duration	Source_ID	Source_Location_Name_Standardized	Target_ID	Target_Location_Name_Standardized	interregional	international
3212	1421;1239;1388;935	FALSE	FALSE	1421	1239;1388;935	1239	LA1597	3827	1597	1597	0	1421	Toulouse	1239	Saint-Jean-Pied-de-Port	TRUE	FALSE
268	86;1239	TRUE	FALSE	86	1239	1239	OC1616;OC1623;OC1666;OC1676	6850;7740;9864;10749	1676	1616	60	86	Avignon	1239	Saint-Jean-Pied-de-Port	TRUE	FALSE
2997	1269;75	FALSE	FALSE	1269	75	75	LA1597	4114	1597	1597	0	1269	Santiago Compostella	75	Astorga	TRUE	FALSE
580	230;75	FALSE	FALSE	230	75	75	OC1623	7797	1623	1623	0	230	Burgos	75	Astorga	FALSE	FALSE
1828	833;75	TRUE	FALSE	833	75	75	OC1608;OC1611;OC1616;OC1620;OC1623;OC1666;OC1676	5774;6089;6763;7316;7763;10085;10657	1676	1608	68	833	Madrid	75	Astorga	TRUE	FALSE
1960	868;75	TRUE	TRUE	868	75	75	JV1545;GH1563;GH1564A;GH1564B;AM1568;LA1597;TT1604;TT1605;AM1605;OC1608;OC1611;TT1615;OC1616;TT1618;OC1620;OC1623;TT1629;AM1650;GS1655;GS1662B;GS1663;OC1666;GS1673;OC1676;AM1679	22;1147;1428;1565;2195;4093;5197;5443;5496;5772;6087;6568;6761;7117;7314;7813;8309;8829;9194;9544;9790;10083;10426;10655;11298	1679	1545	134	868	Medina del Campo	75	Astorga	FALSE	FALSE
1653	759;75	FALSE	FALSE	759	75	75	LA1597	4072	1597	1597	0	759	León	75	Astorga	FALSE	FALSE
2996	1269;31	TRUE	TRUE	1269	31	31	GH1563;GH1564A;GH1564B;AM1568;AM1605;AM1650;AM1679;GM1684;GM1685;GM1687;GV1720	1163;1444;1581;2219;5521;8854;11323;11671;11777;11875;12262	1720	1563	157	1269	Santiago Compostella	31	Alicante	TRUE	FALSE
1827	833;31	FALSE	FALSE	833	31	31	OC1623	7778	1623	1623	0	833	Madrid	31	Alicante	TRUE	FALSE
3165	1406;31	TRUE	TRUE	1406	31	31	LA1597;OC1608;OC1611;OC1616;OC1620;OC1666;OC1676	4138;5771;6086;6760;7313;10082;10654	1676	1597	79	1406	Toledo	31	Alicante	TRUE	FALSE
3336	1461;31	TRUE	FALSE	1461	31	31	AM1568;AM1605;AM1650;AM1679	2251;5553;8886;11355	1679	1568	111	1461	Valencia	31	Alicante	FALSE	FALSE
3337	1461;31;1130	FALSE	FALSE	1461	31;1130	31	JV1545	53	1545	1545	0	1461	Valencia	31	Alicante	FALSE	FALSE
684	307;31	FALSE	FALSE	307	31	31	LA1597	4045	1597	1597	0	307	Ciudad Real	31	Alicante	TRUE	FALSE
2428	1033;31	TRUE	FALSE	1033	31	31	AM1568;AM1605;AM1650;AM1679	2202;5503;8836;11305	1679	1568	111	1033	Orihuela	31	Alicante	FALSE	FALSE
2995	1269;1	TRUE	TRUE	1269	1	1	JV1545;GH1563;GH1564A;GH1564B;AM1568;LA1597;TT1604;TT1605;AM1605;TT1615;TT1618;OC1623;TT1629;AM1650;GS1655;GS1662B;GS1663;GS1673;AM1679	23;1160;1441;1578;2216;4117;5186;5432;5518;6557;7106;7752;8298;8851;9183;9533;9779;10415;11320	1679	1545	134	1269	Santiago Compostella	1	A Coruña	FALSE	FALSE
2999	1269;569	FALSE	FALSE	1269	569	569	OC1623	7820	1623	1623	0	1269	Santiago Compostella	569	guiedõ		
3000	1269;708	TRUE	TRUE	1269	708	708	TT1604;TT1605;TT1615;TT1618;TT1629;GS1655;GS1662B;GS1663;GS1673	5188;5434;6559;7108;8300;9185;9535;9781;10417	1673	1604	69	1269	Santiago Compostella	708	L'Alqueria de la Comtessa	TRUE	FALSE
2882	1181;798	FALSE	FALSE	1181	798	798	OC1623	7559	1623	1623	0	1181	Rome	798	London	TRUE	TRUE
2883	1181;798;1058	FALSE	FALSE	1181	798;1058	798	OC1623	7561	1623	1623	0	1181	Rome	798	London	TRUE	TRUE
