Edition_ID	Edition_Title	Edition_Author	Edition_Location	Language	Edition_Publisher	Edition_Date	Author_VIAF	Author_WikiData_AF	Title_USTC	Title_OCLC	Entered
AP1587D	Le cose maravigliose dell'alma città di Romacon le poste d'Italia	Andrea Palladio	Rome	Italian	Heirs of Giovanni Gigliotti	1587	VIAF17227673	Q177692	USTC 806236		FALSE
AP1587E	Le cose maravigliose dell'alma città di Romacon le poste d'Italia	Andrea Palladio	Venice	Italian	Fabio Zoppini;Agostino Zoppini	1587	VIAF17227673	Q177692	USTC 806233		FALSE
GH1588	Poste per diverse parti del mondo	Giovanni da l'Herba	Lyon	French	Benoît Rigaud	1588	VIAF47104053		USTC 203519		FALSE
CE1588	Nouvelle guide des chemins pour aller et venir par tous les pays et contrees du royaume de France	Charles Estienne		French		1588	VIAF116409342	Q538586			FALSE
AP1588	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Venice	Italian	Girolamo Franzini;Girolamo Francini	1588	VIAF17227673	Q177692	USTC 806359		FALSE
DW1588	Wegweiser oder Reyse Büchlein aller fürnemesten Wege und gebreuchligsten Strassen, durch gantz Deudschlandt, von einer Stadt zur andern	Daniel Wintzenberger	Dresden	German	Gimel Bergen	1588	67285828			938045078	FALSE
AP1589	Le cose meravigliose dell'alma città di Romacon le poste d'Italia	Andrea Palladio	Rome	Italian	Giovanni Martinelli	1589	VIAF17227673	Q177692	USTC 806474		FALSE
TT1591	Sommaire description de la France, Allemagne, Italie et Espagne	Théodore Turquet de Mayerne	Geneva	French	Jacob Stoer	1591	95152542	Q19032157	USTC 34437		FALSE
TT1592	Sommaire description de la France, Allemagne, Italie et Espagne	Théodore Turquet de Mayerne	Geneva	French	Jacob Stoer	1592	95152542	Q19032157	USTC 38807		FALSE
AP1594	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Venice	Italian	Girolamo Franzini;Girolamo Francini	1594	VIAF17227673	Q177692	USTC 764192		FALSE
AP1595A	Le cose maravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Guglielmo Facciotti;Girolamo Franzini	1595	VIAF17227673	Q177692	USTC 806966		FALSE
AP1595B	Le cose meravigliose dell'alma città di Roma	Andrea Palladio	Rome	Italian	Guglielmo Facciotti	1595	VIAF17227673	Q177692	USTC 806967		FALSE
DW1595	Ein naw reyse buechlein von der weitberuembten Churfuerstlichen Sechsischen handelstad Leiptzig aus an die vornembsten oerter in Deudschland und etzlicher anstossenden Koenigreichen und lendern Sampt einem register dorinen alles ordentlich angezeigt was in einem jeden capittel erkleret wird	Daniel Wintzenberger	Dresden	German	Gimel Bergen	1595	67285828		USTC 644767		TRUE
TT1596A	Sommaire description de la France	Théodore Turquet de Mayerne	Lyon	French		1596	95152542	Q19032157	USTC 76381		FALSE
