Location_ID	Location_Name_Standardized	Location_Name	Geoname_ID	adminName1	Location_Lat	Location_Lng	Location_Latlng	country_code	country_name
55	Antwerp	antwarp;antorff;antwerp in brabant;anttorff;anversa en brabant;niderlandt;antwerpen;anthorff;fiandra;antdorff;antwerp in flanders;antvverpen;andtorff;antvverp;antwerp;anvers;anversa;anvers en brabant;antorff in brabant	2803138	Flanders	51.22047	4.40026	51.22047,4.40026	NL	Netherlands
56	Aosta	osta;ostia;aosta;avosta	3182997	Aosta Valley	45.73764	7.31722	45.73764,7.31722	IT	Italy
57	Aquileia	aquilea;aquileja;aquileia;adler	3182944	Tuscany	43.91838	10.51458	43.91838,10.51458	IT	Italy
58	Aranda Duero	arana da veduero;aranda duero;aranda overo;aranda di duero	3129877	Castille and León	41.67041	-3.6892	41.67041,-3.6892	ES	Spain
59	Arc-en-Barrois	arq en barrois;arc-en-barrois	3037229	Grand Est	47.94766	5.00807	47.94766,5.00807	FR	France
60	Arce	arcq;arce	3182921	Latium	41.57787	13.58571	41.57787,13.58571	IT	Italy
61	ardone	ardone							
62	Argenton-sur-Creuse	argenton;argenton-sur-creuse	3037018	Centre-Val de Loire	46.58997	1.51981	46.58997,1.51981	FR	France
63	Ariano	ariano	3182852	Veneto	44.94604	12.12448	44.94604,12.12448	IT	Italy
64	Ariza	nariza;ariza;noriza;narizza;harizza;hariza	3123199	Aragon	41.3783	-1.97373	41.3783,-1.97373	ES	Spain
65	Arles	arles	3036938	Provence-Alpes-Côte d'Azur	43.67681	4.63031	43.67681,4.63031	FR	France
66	Arlon	arlon;arlun	2803073	Wallonia	49.68333	5.81667	49.68333,5.81667	BE	Belgium
67	Arnheim	arnheim;arnhem	2759661	Gelderland	51.98	5.91111	51.98,5.91111	NL	Netherlands
68	Arnsberg	arnsberg;arensperg;arnsperg	2955471	North Rhine-Westphalia	51.38333	8.08333	51.38333,8.08333	DE	Germany
69	Arnstadt	arnstadt;arnstat	2955439	Thuringia	50.84048	10.95198	50.84048,10.95198	DE	Germany
70	Arras	arras	3036784	Hauts-de-France	50.29301	2.78186	50.29301,2.78186	FR	France
71	Ascheberg	ascheburg;aschenburg;aschenburgt;ascheberg	2955224	North Rhine-Westphalia	51.78333	7.61667	51.78333,7.61667	DE	Germany
72	Aschersleben	aschersleben	2955168	Saxony-Anhalt	51.75742	11.46084	51.75742,11.46084	DE	Germany
73	Assisi	assisi;san francesco d assisi;san francesco d'assisi;seez	3182722	Umbria	43.06671	12.62109	43.06671,12.62109	IT	Italy
74	Asti	aste;asti	3182462	Piedmont	44.90595	8.09163	44.90595,8.09163	IT	Italy
75	Astorga	campo a astorga;storga;storgo;astorga	3129231	Castille and León	42.45879	-6.05601	42.45879,-6.05601	ES	Spain
76	Attendorn	attendorn;attendar	2954932	North Rhine-Westphalia	51.12645	7.90333	51.12645,7.90333	DE	Germany
77	Augsburg	augsburg;auspurg;auspurgt;augspurgt;auxpurg;augspurge;auspurge;augspurg;augusta;augsburge	2954172	Bavaria	48.37154	10.89851	48.37154,10.89851	DE	Germany
78	Aurice	aurick;aurice	3036021	Nouvelle-Aquitaine	43.81441	-0.6044	43.81441,-0.6044	FR	France
79	aurillac	aurillac	3036016	Auvergne-Rhône-Alpes	44.9214	2.43732	44.9214,2.43732	FR	France
80	aurone	aurone							
81	Austria	oesterreich;austria	2782113		47.33333	13.33333	47.33333,13.33333	AT	Austria
82	Autun	autun	3035882	Bourgogne-Franche-Comté	46.95104	4.29869	46.95104,4.29869	FR	France
83	Aux-Aussat	aux-aussat;aux	3035847	Occitanie	43.43892	0.26335	43.43892,0.26335	FR	France
84	Auxerre	auxerre;aurerre	2987876	Bourgogne-Franche-Comté	47.82092	3.53663	47.82092,3.53663	FR	France
85	Auxonne	auxone;ausone;forest d auxonne;auxonne;forest d'auxonne	3035828	Bourgogne-Franche-Comté	47.19255	5.38726	47.19255,5.38726	FR	France
86	Avignon	avegnone;avignon;avegnon;avignone	3035681	Provence-Alpes-Côte d'Azur	43.94834	4.80892	43.94834,4.80892	FR	France
87	Ávila	alvila;ávila;avila	3129136	Castille and León	40.65724	-4.69951	40.65724,-4.69951	ES	Spain
88	Aye	aye	2802842	Wallonia	50.22471	5.30064	50.22471,5.30064	BE	Belgium
89	Bacharach	bacharach;bachgraacht	2953702	Rheinland-Pfalz	50.05725	7.76948	50.05725,7.76948	DE	Germany
90	Bad Cannstatt	canstatt;cantstatt;bad cannstatt;canstat;cantstat	2953533	Baden-Württemberg	48.8048	9.2145	48.8048,9.2145	DE	Germany
91	Bad Düben	bad düben;diiben	2953524	Saxony	51.59174	12.58492	51.59174,12.58492	DE	Germany
92	Bad Gandersheim	gandescem;bad gandersheim	2953456	Lower Saxony	51.87167	10.02537	51.87167,10.02537	DE	Germany
93	Bad Kreuznach	creuznach un franckental;creuznach;bad kreuznach;creuzenach	2953416	Rheinland-Pfalz	49.8414	7.86713	49.8414,7.86713	DE	Germany
94	Bad Langensalza	bad langensalza;langenfalke;langensalke	2953413	Thuringia	51.10771	10.646	51.10771,10.646	DE	Germany
95	Bad Ragaz	bad ragaz;bada	2661644	Saint Gallen	47.00601	9.50266	47.00601,9.50266	CH	Switzerland
96	Bad Reichenhall	bad reichenhall;reichen halll;reichenhall	2953371	Bavaria	47.72947	12.87819	47.72947,12.87819	DE	Germany
97	Bad Zurzach	bad zurzach;zurzach	2657891	Aargau	47.58764	8.29365	47.58764,8.29365	CH	Switzerland
98	badajoz	badajoz	2521420	Extremadura	38.87789	-6.97061	38.87789,-6.97061	ES	Spain
99	Baden	baden	2661646	Aargau	47.47333	8.30592	47.47333,8.30592	CH	Switzerland
100	Baghdad	babilona;babilonia;baghdad	98182	Baghdad	33.34058	44.40088	33.34058,44.40088	IQ	Iraq
101	Bagnoli	bagnoli	3182512	Campania	40.83103	15.07173	40.83103,15.07173	IT	Italy
102	Baierbrunn	baylbrunn;baierbrunn	2953213	Bavaria	48.0203	11.48689	48.0203,11.48689	DE	Germany
103	Bailleul	bailleul;baiereur	3035359	Hauts-de-France	50.73592	2.73594	50.73592,2.73594	FR	France
104	Baiona	baiona in france;bajonne;baiana;baonne;baiona	3128462	Galicia	42.11667	-8.85	42.11667,-8.85	ES	Spain
105	Balve	balve	2953003	North Rhine-Westphalia	51.3315	7.86424	51.3315,7.86424	DE	Germany
106	Bamberg	bamberg;bambergt;banberga;bamberga	2952984	Bavaria	49.89873	10.90067	49.89873,10.90067	DE	Germany
107	Bar-le-Duc	barleduc;bar le duc;bar-le-duc	3034911	Grand Est	48.77275	5.16108	48.77275,5.16108	FR	France
108	Bar-sur-Aube	bar sur aulbe;bar sur aube;bar-sur-aube;bar an der aube	3034802	Grand Est	48.23315	4.7064	48.23315,4.7064	FR	France
109	Bar-sur-Seine	bar-sur-seine;bar sur seine;bar sur seyne	3034800	Grand Est	48.11295	4.37656	48.11295,4.37656	FR	France
110	barbarisa	barbariso;barbarisa							
111	Barcelona	barcelonne;barzellona;barcellona;barcalona;barcelon;barzelona;barcelona;barselona	3128760	Catalonia	41.38879	2.15899	41.38879,2.15899	ES	Spain
112	Bărcut	barrut;bărcut	685341	Braşov	45.99813	24.92103	45.99813,24.92103	RO	Romania
113	Bari	bari;puglia	3182351	Apulia	41.12066	16.86982	41.12066,16.86982	IT	Italy
114	barlaimont	barlaimont							
115	Barletta	barletta	3182340	Apulia	41.31429	16.28165	41.31429,16.28165	IT	Italy
116	barrauchen	barassin;barrauchen							
117	Bart	bart	3034798	Bourgogne-Franche-Comté	47.48861	6.7709	47.48861,6.7709	FR	France
118	Barth	barth	2952372	Mecklenburg-Vorpommern	54.36346	12.72491	54.36346,12.72491	DE	Germany
119	Barwick	barwick	11593091	England	50.92268	-2.62517	50.92268,-2.62517	GB	United Kingdom
120	Basel	basel;basle;basilea;basell;basel in schweitz	2661604	Basel-City	47.55839	7.57327	47.55839,7.57327	CH	Switzerland
121	Basilicata	la basilicata;basilicata	3182306	Basilicate	40.5041	16.11396	40.5041,16.11396	IT	Italy
122	Basilique Notre-Dame de Cléry-Saint-André	sainct cler;nostre dame clery;basilique notre-dame de cléry-saint-andré	6449189	Centre-Val de Loire	47.82111	1.75667	47.82111,1.75667	FR	France
123	Basilique Saint-Mathurin	basilique saint mathurin;sainct mathurin	2978197	Pays de la Loire	47.41667	-0.31667	47.41667,-0.31667	FR	France
124	Basra	balsare;basra	99532	Basra	30.50852	47.7804	30.50852,47.7804	IQ	Iraq
125	Bassano del Grappa	basano;bassano del grappa	3182297	Veneto	45.76656	11.72739	45.76656,11.72739	IT	Italy
126	Bassu	bassu	3034653	Grand Est	48.83175	4.69376	48.83175,4.69376	FR	France
127	Basto (Santa Tecla)	tecla;basto (santa tecla)	8011118	Braga	41.38569	-8.04674	41.38569,-8.04674	PT	Portugal
128	Bastogne	bastoigne;bastogne	2802583	Wallonia	50.00347	5.71844	50.00347,5.71844	BE	Belgium
129	Batama	bapama;batama	2027038	Irkutsk Oblast	53.8724	101.6234	53.8724,101.6234	RU	Russia
130	Batzen	batzen;bantzen	2952197	Bavaria	47.77164	10.26593	47.77164,10.26593	DE	Germany
131	Baustert	beysser;beissern;baustert	2951887	Rheinland-Pfalz	49.978	6.38984	49.978,6.38984	DE	Germany
132	Bautzen	bauzen;bautzen	2951881	Saxony	51.18035	14.43494	51.18035,14.43494	DE	Germany
133	Bayeux	bayeulx;bayeux	3034483	Normandy	49.27732	-0.7039	49.27732,-0.7039	FR	France
134	Bayonne	baione;bayonne;baionne	3034475	Nouvelle-Aquitaine	43.49257	-1.47624	43.49257,-1.47624	FR	France
135	Bayreuth	bayreuth;bayreut;bareuth;bareyth	2951825	Bavaria	49.94782	11.57893	49.94782,11.57893	DE	Germany
136	Beaufort	beffort;befort;beaufort	2960809	Echternach	49.83583	6.29167	49.83583,6.29167	LU	Luxembourg
137	Beaumont	beaumont	3013525	Hauts-de-France	50.41359	2.96485	50.41359,2.96485	FR	France
138	Beaune	beaune;beaulne	3034126	Bourgogne-Franche-Comté	47.02413	4.83887	47.02413,4.83887	FR	France
139	Beauvais	beauvois;beauvais;beuvois	3034006	Hauts-de-France	49.43333	2.08333	49.43333,2.08333	FR	France
140	Beauvoir-sur-Mer	beauvoir sur mer;beauvoir-sur-mer;beauvoir;beauvoix sur mer	3033968	Pays de la Loire	46.91274	-2.04156	46.91274,-2.04156	FR	France
141	Bedburn	bedbur;bedburn	2656050	England	54.67929	-1.84508	54.67929,-1.84508	GB	United Kingdom
